id,title,views,date,url,game_name,content_name,topic,duration,start_stream,end_stream,note,Last Update
1,Get to know me better?,502,29-September-2022,https://www.youtube.com/watch?v=pkTGi1jVfpI,,Dono Reading,Free Talk,01:54:40,19:00,20:54,,DISCLAIMER: all of this is all based on twitter and youtube manual scraping. Jadi kemungkinan views nya tidak real time(?)
2,WAJIB PAKE NASII!!!,488,30-September-2022,https://www.youtube.com/watch?v=s-5CUCH7S-k,Cooking Simulator,,Game,02:00:12,19:00,21:00,,Start Scraping 30 December 2022
3,Game ini ramah sekali bintang 5,418,2-October-2022,https://www.youtube.com/watch?v=V6i36YBBwAQ,Getting Over It,,Game,01:52:50,19:45,21:37,,
4,I will put you into turu,318,4-October-2022,https://www.youtube.com/watch?v=fqSKmP0ps-E,,,Free Talk,01:58:53,22:00,23:58,,
5,Please spare me...,267,06-October-2022,https://www.youtube.com/watch?v=R7kmD1Hqi3c,Outlast,,Game,01:40:02,22:00,23:40,,
6,Akhirnya Ketemu Om Dante!!,300,07-October-2022,https://www.youtube.com/watch?v=PEx4f0D-wPE,Devil My Cry 5,,Game,01:50:54,19:30,21:20,,
7,I am bad at Teaching but... here we are,342,16-October-2022,https://www.youtube.com/watch?v=tw1PB52HxMA,,,Free Talk,01:59:10,13:00,14:59,,
8,Melanjutkan Petualangan Abang Reporter...,460,17-October-2022,https://www.youtube.com/watch?v=4KC64KEA3WM,Outlast,,Game,02:34:20,20:00,22:34,,
9,"P palo, please bear with my aim",474,18-October-2022,https://www.youtube.com/watch?v=h87TdDZ40Ok,Valorant,,Game,02:57:34,19:30,22:27,,
10,Memecahkan misteri dunia bersama Pergil,305,20-October-2022,https://www.youtube.com/watch?v=GH8EhiQ0I6M,Devil My Cry 5,,Game,02:10:24,19:30,21:40,,
11,"Rekomen game favorit kalian, yuk!",612,26-October-2022,https://www.youtube.com/watch?v=1UPYF0RZgx8,,Game Review,Free Talk,02:56:05,20:00,22:56,,
12,Speedrun sampai Tamat!!,327,29-October-2022,https://www.youtube.com/watch?v=exMyVcN5eAc,Outlast,,Game,02:15:22,19:00,21:15,,
13,Membangun Livipro Dorm bersama kalian,646,31-October-2022,https://www.youtube.com/watch?v=FDD0ZDZEFHM,The Sims 4,,Game,02:28:36,19:30,21:58,,
14,An announcement for you all...,509,8-November-2022,https://www.youtube.com/watch?v=8BelapUrNCk,,,Guerilla,00:35:04,19:00,19:35,,
15,Gacha Ampas = END STREAM,491,10-November-2022,https://www.youtube.com/watch?v=qN8AgGUYfi4,NIKKE,,Game,01:52:30,19:30,21:22,,
16,"Let's Play and Chill, I missed you guys!",411,16-November-2022,https://www.youtube.com/watch?v=ZIPs8n0qS7U,Coffee Talk,,Game,02:28:28,20:00,22:28,,
17,Nyobain Media Share skuy!~,403,17-November-2022,https://www.youtube.com/watch?v=Mxc0erBvrPQ,,Dono Reading,Free Talk,02:25:34,20:00,22:25,,
18,Feed me with more cat pics!,441,19-November-2022,https://www.youtube.com/watch?v=eX8_cUM5Qqs&t=2s,,Cat Contest,Free Talk,02:45:03,20:00,22:45,,
19,Livium Dorm is now Open!,319,20-November-2022,https://www.youtube.com/watch?v=UqD5tyACcPY,The Sims 4,,Game,02:10:55,19:30,21:40,,
20,I promise I will get scared... 🥶🥶,360,21-November-2022,https://www.youtube.com/watch?v=zK3m8kOMtC4,The Convenience Store,,Game,01:57:16,20:30,22:27,,
21,NoNgDin - Nongkrong Bareng Dina,479,24-November-2022,https://www.youtube.com/watch?v=aok3CxyJ5Ag,,NoNgDin,Free Talk,02:24:57,14:00,16:24,,
22,OMW Jadi Babu si Oyen!,266,27-November-2022,https://www.youtube.com/watch?v=OQt97dnKDvE,Stray,,Game,02:04:36,19:30,21:34,,
23,Welcome to the Wonderland!,290,30-November-2022,https://www.youtube.com/watch?v=Sgpv-jqLZ4k,Alice: Madness Returns,,Game,02:03:48,20:00,22:03,,
24,Berita apakah yang kita bahas hari ini?,550,4-December-2022,https://www.youtube.com/watch?v=rI1Cg1knF5A,,NoNgDin,Free Talk,01:56:58,15:00,16:56,,
25,Memasak untuk Livium Chapter: 01 😋,381,5-December-2022,https://youtu.be/jqGPB3knNZE,Cooking Simulator,,Game,02:21:42,19:00,21:21,,
26,"Kopi, Kopi apa yang bikin kangen?",433,7-December-2022,https://www.youtube.com/watch?v=2aA58oNRTMo,,NoNgDin,Free Talk,01:54:49,15:00,16:54,,
27,Sehari jadi abang tukang bakso rasanya gimana sih?,371,08-December-2022,https://www.youtube.com/watch?v=lDxV5S-A3YA,Bakso Simulator,,Game,02:05:24,14:30,16:35,,
28, Sampai mana perjalanan si Oyen hari ini?,313,09-December-2022,https://www.youtube.com/watch?v=w0wKog3kXFY,Stray,,Game,01:59:40,20:00,21:59,,
29,"Chill, Chat and Cattos with Me",487,12-December-2022,https://www.youtube.com/watch?v=9k6PRzJYajM,Cats Organized Neatly,,Game,02:43:16,20:00,22:43,,
30,Thank you For The Supports and Love!,558,14-December-2022,https://www.youtube.com/watch?v=DSbqM10UC8Q,,2k Subs Celebration,Game,03:19:54,19:00,22:19,,
31,Sleep Call for the First Time?,512,17-December-2022,https://www.youtube.com/watch?v=8vvP9Qi6oXU,,,Free Talk,01:06:30,22:00,23:06,,
32,Ujian Sim A di Livium Universe,701,22-December-2022,https://www.youtube.com/watch?v=dyzvyIoI1ac,NFS Heat,,Game,02:58:46,21:00,23:58,,
33,No Jumpscare Intended Here I Swear,510,25-December-2022,https://www.youtube.com/watch?v=AuHdSkX6ZX0,The Closing Shift,,Game,02:54:04,19:30,22:24,,
34,"Livium Chapter:01 Alter, Finally!?",482,26-December-2022,https://www.youtube.com/watch?v=wa0UV2y7pLA,The Sims 4,,Game,02:45:21,19:30,22:15,,
35,"Good Morning, What kind of breakfast do I need?",583,29-December-2022,https://www.youtube.com/watch?v=7F8dCfct5kc,,,Free Talk,02:53:56,10:00,12:53,,
36,All SSS Rank No Cap FR FR,,30-December-2022,https://www.youtube.com/watch?v=VtOx1oOYrtc,Devil My Cry 5,,Game,02:54:22,20:30,23:24,,
37,,,,,,,,,,,,
38,,,,,,,,,,,,
39,,,,,,,,,,,,
40,,,,,,,,,,,,
41,,,,,,,,,,,,
42,,,,,,,,,,,,
43,,,,,,,,,,,,
44,,,,,,,,,,,,
45,,,,,,,,,,,,
46,,,,,,,,,,,,
47,,,,,,,,,,,,
48,,,,,,,,,,,,
49,,,,,,,,,,,,
50,,,,,,,,,,,,
51,,,,,,,,,,,,
52,,,,,,,,,,,,
53,,,,,,,,,,,,
54,,,,,,,,,,,,
55,,,,,,,,,,,,
56,,,,,,,,,,,,
57,,,,,,,,,,,,
58,,,,,,,,,,,,
59,,,,,,,,,,,,
60,,,,,,,,,,,,
61,,,,,,,,,,,,
62,,,,,,,,,,,,
63,,,,,,,,,,,,
64,,,,,,,,,,,,
65,,,,,,,,,,,,
