id,title,views,date,url,game_name,content_name,topic,duration,start_stream,end_stream,note,Last Update
1,Ask me anything since I'm feeling nice,3039,30-September-2022,https://www.youtube.com/watch?v=VWXGdhUA6bs,,,Free Talk,02:04:13,20:00,22:04,,DISCLAIMER: all of this is all based on twitter and youtube manual scraping. Jadi kemungkinan views nya tidak real time(?)
2,belajar menembak untuk memajukan negara,2548,1-October-2022,https://www.youtube.com/watch?v=jIjkYRJMPH0,Valorant,,Game,01:40:28,21:00,22:40,,Start Scraping 01 January 2023
3,tentara harus berani,1847,2-October-2022,https://www.youtube.com/watch?v=jRaA3G-GI1E,Dead by Daylight,,Game,01:36:08,20:00,21:36,,
4,gimana hari ini?,4578,3-October-2022,https://www.youtube.com/watch?v=fM9fLg82Npw,,,Free Talk,01:41:08,19:30,21:11,,
5,janji ga takut,1659,07-October-2022,https://www.youtube.com/watch?v=E11jcJz4Izo,Ao Oni,,Game,02:09:46,20:00,22:09,,
6,"pagi, latihan yuk?",3379,08-October-2022,https://www.youtube.com/watch?v=y1TV8lmlpWc,,Guerilla,Free Talk,02:17:21,09:00,11:17,,
7,ga lucu = deportasi,3793,08-October-2022,https://www.youtube.com/watch?v=mKPpHNIEyZE,,Waktu Silvia Menilai (WSM),Free Talk,02:06:46,21:00,23:06,,
8,jadi ubi gepeng,2420,12-October-2022,https://www.youtube.com/watch?v=rnN6AU38jv4,Ao Oni,,Game,02:01:30,20:00,22:01,,
9,menguji kekebalan melawan buaya,4509,15-October-2022,https://www.youtube.com/watch?v=fdzktuL6MwU,,Waktu Silvia Menilai (WSM),Free Talk,02:07:58,20:00,22:07,,
10,gampang ini mah,1404,20-October-2022,https://www.youtube.com/watch?v=bleVbnHgf34,The Witch's House,,Game,01:31:25,20:00,21:31,,
11,"udah lama, sini",2824,23-October-2022,https://www.youtube.com/watch?v=liWz5YD0ZuU,,,Free Talk,02:02:28,10:00,12:02,,
12,kapakku tidak mungkin meleset,1422,24-October-2022,https://www.youtube.com/watch?v=Z7r9tGa-Kk8,Dead by Daylight,,Game,02:14:50,20:00,22:14,,
13,loncat loncat doang kan,1676,26-October-2022,https://www.youtube.com/watch?v=eRAS-d2V27w,Jump King,,Game,01:41:21,16:00,17:41,,
14,kapan lagi,3260,30-October-2022,https://www.youtube.com/watch?v=Yb-0byn966Q,,Singing you to sleep,Karaoke,01:32:16,21:30,23:02,,
15,apakah iya game ini susah?,1663,4-November-2022,https://www.youtube.com/watch?v=g9rMvlUQJKQ,Cuphead,,Game,02:19:58,15:30,17:49,,
16,jadi sebenernya...,3154,6-November-2022,https://www.youtube.com/watch?v=x-omIeFiU10,,,Free Talk,02:07:47,10:00,12:07,,
17,deg degan ga yaaa,1566,7-November-2022,https://www.youtube.com/watch?v=rGs5BVYgTdc,Little Nightmares,,Game,02:05:16,19:30,21:35,,
18,dor,1350,12-November-2022,https://www.youtube.com/watch?v=x4ALddcy2bw,Valorant,,Game,02:06:48,15:30,17:36,,
19,"day off, let's talk",1985,13-November-2022,https://www.youtube.com/watch?v=hqi_8HbIYpw,,,Free Talk,02:12:41,10:00,12:12,,
20,aku akan bermain dengan senang hati,1438,14-November-2022,https://www.youtube.com/watch?v=In4XThgXDQE,Little Nightmares,,Game,02:07:58,20:30,22:37,,
21,apakah wallpaper kalian bagus?,3843,18-November-2022,https://www.youtube.com/watch?v=VEwg7qP9fI0,,Waktu Silvia Menilai (WSM),Free Talk,01:39:42,20:00,21:39,,
22,menilai wallpaper part 2,2467,19-November-2022,https://www.youtube.com/watch?v=rDN9hNfEyjA,,Waktu Silvia Menilai (WSM),Free Talk,01:19:54,15:00,16:19,,
23,orang chill main game chill,1481,20-November-2022,https://www.youtube.com/watch?v=A4Oq8tAKq_U,When The Past Was Around,,Game,02:04:52,13:00,15:04,,
24,about today,3161,21-November-2022,https://www.youtube.com/watch?v=Aia0caMss_U,,,Free Talk,03:33:32,20:00,23:33,,
25,jaga jarak dah kalo kata gua mah,1385,24-November-2022,https://www.youtube.com/watch?v=iQDrBnkoNcI,Little Nightmares,,Game,02:08:34,21:00,23:08,,
26,menjelajah melihat keindahan alam,1416,25-November-2022,https://www.youtube.com/watch?v=_McK9H2W2TA,Alba: A Wildlife Adventure,,Game,02:04:26,13:30,15:34,,
27,perang melawan zombie,2322,27-November-2022,https://www.youtube.com/watch?v=9uKuKRvteWQ,Plants vs. Zombies,,Game,02:03:42,20:30,22:33,,
28,first time,5054,01-December-2022,https://www.youtube.com/watch?v=Mv4Lx2IJZJE,,Mediashare,Free Talk,04:35:54,20:00,00:35,,
29,kekuasaan mutlak ada di tanganku,2547,04-December-2022,https://www.youtube.com/watch?v=NF1kCxBjgeo,The Sims 4,,Game,02:06:08,13:00,15:06,,
30,Unique games with Silvia,4764,05-December-2022,https://www.youtube.com/watch?v=o1sndS1BGN4,,Unique games with Silvia (Usil),Game,02:06:46,20:00,22:06,random games,
31,pvz di pagi hari,2891,07-December-2022,https://www.youtube.com/watch?v=Mok-F7-_2qk,Plants vs. Zombies,Guerilla,Game,01:38:00,10:20,11:58,,
32,membicarakan strategi untuk menang,5083,08-December-2022,https://www.youtube.com/watch?v=7EpYUKFeXGk,,Mediashare,Free Talk,03:06:29,20:00,23:06,,
33,kita harus salut dengan dedikasi mereka,2752,09-December-2022,https://www.youtube.com/watch?v=eOMpumcoLPI,,Waktu Silvia Menilai (WSM),Free Talk,01:10:32,15:15,16:25,,
34,di pagi hari yang damai ini kita akan menyusun kucing,5010,10-December-2022,https://www.youtube.com/watch?v=h4zdAhqbIOk,Cats Organized Neatly,Guerilla,Game,02:28:24,10:10,12:38,,
35,aku akan menjadi komandan terkeren,7874,10-December-2022,https://www.youtube.com/watch?v=H3biWCthJpA,Nikke,,Game,03:40:54,22:00,01:40,,
36,kali ini sabar dan santai,2925,12-December-2022,https://www.youtube.com/watch?v=1VrfLpKkoYQ,Jump King,,Game,01:23:52,13:20,14:43,,
37,cerita apa yang akan terjadi,3907,14-December-2022,https://www.youtube.com/watch?v=R3ALWTRsqkg,Citampi Stories,,Game,01:32:56,15:30,17:02,,
38,The Rise of Silvilization,3276,18-December-2022,https://www.youtube.com/watch?v=EBWfSlSosOY&t=3s,,Membership Open,Free Talk,01:04:46,19:00,20:04,,
39,membaca nama nama penduduk,4431,21-December-2022,https://www.youtube.com/watch?v=RbhHJr50kbA,,Membership Reading,Free Talk,02:37:44,20:00,22:37,,
40,Unique games with Silvia #2,3449,23-December-2022,https://www.youtube.com/watch?v=HQ5lKnPoi1w,,Unique games with Silvia (Usil),Game,01:37:10,12:50,14:27,random games,
41,halo dek,3481,27-December-2022,https://www.youtube.com/watch?v=lGzI3kmFQTM,,,Free Talk,01:11:50,10:00,11:11,,
