id,title,views,date,url,game_name,content_name,topic,duration,start_stream,end_stream,note,Last Update
1,Ayo kita ngobrol santai dan minum teh!,547,30-September-2022,https://www.youtube.com/watch?v=U0L3aYUXl_Q,,,Free Talk,02:04:42,20:30,22:34,,DISCLAIMER: all of this is all based on twitter and youtube manual scraping. Jadi kemungkinan views nya tidak real time(?)
2,Bertani mengumpulkan buah!!,479,1-October-2022,https://www.youtube.com/watch?v=InaauV5Y8Dg,Stardew Valley,,Game,02:43:10,20:30,23:13,,Start Scraping 24 December 2022
3,Ni hao ma? Xie xie ni!,421,2-October-2022,https://www.youtube.com/watch?v=YtBCEf55DMY,,Duolingo,Free Talk,02:09:23,20:30,22:39,,
4,Hantu bengkok yang tidak seram,575,4-October-2022,https://www.youtube.com/watch?v=gWuvBvi5nxo,The Crooked Man,,Game,03:56:20,20:00,23:56,,
5,Apa yang harus kita lakukan saat hujan?,947,07-October-2022,https://www.youtube.com/watch?v=irwUGqQUwHM,,,Free Talk,02:32:35,20:30,23:02,,
6,"Ayo ngobrol, kali ini beneran",612,15-October-2022,https://www.youtube.com/watch?v=OMqVSujw0NE,,,Free Talk,01:55:27,21:00,22:55,,
7,"Hantu bengkok yang tidak seram, Part 02!",620,17-October-2022,https://www.youtube.com/watch?v=yFlee21ZAho,The Crooked Man,,Game,03:16:48,20:30,23:46,,
8,"Menjadi petani professional sungguhan, ini serius!",790,18-October-2022,https://www.youtube.com/watch?v=Uq6tBf8xOBs,Stardew Valley,,Game,02:28:58,20:30,22:58,,
9,Terjebak di hutan? Ezpz sih ini sepertinya,694,20-October-2022,https://www.youtube.com/watch?v=HzUvY8CCZY8,Death Forest,,Game,02:29:23,20:30,22:59,,
10,Apa yang kalian lakukan malam ini?,801,23-October-2022,https://www.youtube.com/watch?v=pmrbUUHSPrs,,,Free Talk,02:32:23,20:00,22:32,,
11,Meninggalkan jejak si botak disini,831,26-October-2022,https://www.youtube.com/watch?v=VhM3PsCK4bI,Getting Over It,,Game,02:47:11,20:30,23:17,,
12,Surat apa yang datang hari ini?,908,30-October-2022,https://www.youtube.com/watch?v=rA35DgeBubs,Y-MAIL BOX!,,Free Talk,03:32:44,20:30,00:02,,
13,Bisakah buwong gambar??,618,2-November-2022,https://www.youtube.com/watch?v=079c_7VTWlA,,Meirukis,Drawing,02:10:50,20:30,22:40,,
14,Pi Po Pi Po CL A P!,644,5-November-2022,https://www.youtube.com/watch?v=zFV2RNXEaz8,One Hand Clapping,,Game,02:27:52,20:30,22:57,,
15,for me it was Tukiyem Adventure!,563,8-November-2022,https://www.youtube.com/watch?v=GZQ9xGcyhDE,RUKIMIN's Disappointing Adventure!,,Game,02:12:26,20:30,22:42,,
16,"Mari menamatkan pria bengkok, tamat beneran",538,9-November-2022,https://www.youtube.com/watch?v=HLctuoiSVjQ,The Crooked Man,,Game,03:11:39,20:30,23:41,,
17,"Iyakah? Astaga ngerinya, ngeri-ngeri",571,11-November-2022,https://www.youtube.com/watch?v=K6lqWHlRyPM,,Scary Video,Free Talk,02:52:28,20:30,23:22,,
18,Mengawali pekan bersama Om Abdul episode 2,745,15-November-2022,https://www.youtube.com/watch?v=0ne0QktQnBA,Getting Over It,,Game,01:57:16,20:30,22:27,,
19,Beep! Beep! Berpetualang bersama Catto,638,16-November-2022,https://www.youtube.com/watch?v=CUcpRKy8w7s,Magicat!,,Game,02:29:52,20:30,22:59,,
20,Kembali ke masa lampau sebentar,784,18-November-2022,https://www.youtube.com/watch?v=Il7GuTV40Sg,Y-MAIL BOX!,,Free Talk,03:23:37,20:30,23:53,,
21,Lanjut berpetualang bersama Catto episode 02!,520,23-November-2022,https://www.youtube.com/watch?v=ZhIo0hECJu4,Magicat!,,Game,03:12:41,20:00,23:12,,
22,Pakai kisi-kisi bisa tamatin TUKIYEM kah?,593,24-November-2022,https://www.youtube.com/watch?v=EXvn6EZlRsE,RUKIMIN's Disappointing Adventure!,,Game,02:56:38,20:30,23:26,,
23,Mari kita ngobrol random dan nobar (mediashare open),1482,30-November-2022,https://youtu.be/fEDRxxkpfg4,,,Free Talk,04:21:53,20:30,00:51,,
