id,title,views,date,url,game_name,content_name,topic,duration,start_stream,end_stream,note,Last Update
1,uk ngobrol sambil kenalan lagi,429,30-September-2022,https://www.youtube.com/watch?v=kzqbtNpYZBA,,,Free Talk,01:57:12,19:30,21:27,,DISCLAIMER: all of this is all based on twitter and youtube manual scraping. Jadi kemungkinan views nya tidak real time(?)
2,Reading you a bed time story,310,2-October-2022,https://www.youtube.com/watch?v=Q2P4CVIFmJ0,,Bed Time Story,Storytelling,01:19:38,21:30,22:49,,Start Scraping 31 December 2022
3,Ssssttt bisik aja kita biar ga kedengeran,357,6-October-2022,https://www.youtube.com/watch?v=mq9ufKJ3cxQ,,,Free Talk,01:37:32,20:30,22:07,,
4,Pokoknya horror game aja,320,7-October-2022,https://www.youtube.com/watch?v=0CiLBd874hE,,,Game,01:49:56,21:00,22:49,maen gim banyak,
5,"Katanya sih mo lanjut reaksi, tpi ga tau deh sini dulu sini",712,13-October-2022,https://www.youtube.com/watch?v=3yeQaJ6tgqE,,,Free Talk,01:59:02,20:00,21:59,,
6,Continue to read you a bed time story ,233,16-October-2022,https://www.youtube.com/watch?v=AUUYlPxFg-M,,Bed Time Story,Storytelling,01:16:30,21:00,22:16,,
7,Selamat datang di dunia tipu tipu ,487,19-October-2022,https://www.youtube.com/watch?v=_FrXP4q8LvI,,Meme Review,Free Talk,01:56:36,20:30,22:26,,
8,Gaming Corner: Mencoba gamenya kak Ethel!!,243,21-October-2022,https://www.youtube.com/watch?v=fx2jqyAdNRc,Boxes,,Game,01:23:18,19:00,20:23,,
9,YUURAOKE!!! Permisi mo ngamen,482,22-October-2022,https://www.youtube.com/watch?v=cNlQ_XrKesk,,,Karaoke,02:30:57,14:00,16:30,,
10,Guerilla Gaming Corner: bukan part 2,251,23-October-2022,https://www.youtube.com/watch?v=4LejC80w2JU,Boxes,,Game,01:33:26,12:30,14:03,,
11,Reading you The Story of Momotaro until you fell asleep,295,23-October-2022,https://www.youtube.com/watch?v=1xK9cWInPx4,,Bed Time Story,Storytelling,01:32:36,21:30,23:02,,
12,Menilai masakan kalian,531,27-October-2022,https://www.youtube.com/watch?v=539bFmc2sJ0,,Food Review,Free Talk,02:36:04,20:30,23:06,,
13,Guerilla Gaming Corner: maju sini lo rhythm game,377,29-October-2022,https://www.youtube.com/watch?v=A0CsWtS_uRE,Muse Dash,,Game,03:14:52,16:15,19:29,,
14,Reading you The Story of SaruKani until you fell asleep,279,30-October-2022,https://www.youtube.com/watch?v=RymGivLjcek,,Bed Time Story,Storytelling,01:42:16,21:00,22:42,,
15,dah lama ga ngobrol sama profesional streamer,557,1-November-2022,https://www.youtube.com/watch?v=qSBmIPeQllA,,,Free Talk,02:30:04,20:30,23:00,,
16,Guerilla Gaming Corner: Mainin game yang dikasih Dina!!,424,4-November-2022,https://www.youtube.com/watch?v=lrFa4RTeVHI,Getting Over It,,Game,01:58:11,16:45,18:43,,
17,Gutten morgen para makhluk hidup,358,5-November-2022,https://www.youtube.com/watch?v=t6m26BSQZfo,,,Free Talk,01:53:00,08:00,09:53,,
18,Reading you Story until you fall asleep,290,6-November-2022,https://www.youtube.com/watch?v=GDImIAsxGg4,,Bed Time Story,Storytelling,01:34:18,22:00,23:34,,
19,Gaming Corner: Stream Genshin pake potato PC,352,7-November-2022,https://www.youtube.com/watch?v=_PE9iCXb6so,Genshin Impact,,Game,01:24:22,18:30,19:54,,
20,Malming ayo nonton bareng!!! aku ada kuaci ama minum,251,12-November-2022,https://www.youtube.com/watch?v=z-lTw0CL57g,,,Watchalong,02:11:34,20:00,22:11,,
21, Reading you Story: ちからたろう until you fall asleep,239,13-November-2022,https://www.youtube.com/watch?v=ZzHlj7LzX6c,,Bed Time Story,Storytelling,01:41:06,21:00,22:41,,
22,Kuitung aku main ini sejam aja yak ,283,16-November-2022,https://www.youtube.com/watch?v=yMFpd1eqUuw,Everybody Must Die,,Game,02:06:34,19:00,21:06,,
23,Mencoba game puzzle aesthetic✨,218,17-November-2022,https://www.youtube.com/watch?v=LdG6EkLaRwE,When The Past Around,,Game,02:38:28,19:30,22:08,,
24,Reading you Story: つるのおんがえし until you fall asleep,228,20-November-2022,https://www.youtube.com/watch?v=8aRB1nSbim0,,Bed Time Story,Storytelling,01:36:32,21:00,22:36,,
25,Kapan hari tu aku bongkar gudang...,371,22-November-2022,https://www.youtube.com/watch?v=3eAkI3bHQoc,,,Free Talk,01:59:50,19:30,21:29,,
26,Reading you Story:うらしまたろう until you fall asleep,267,27-November-2022,https://www.youtube.com/watch?v=S6fsABoeIEA,,Bed Time Story,Storytelling,02:00:07,21:45,23:45,,
27,Speedrun ikz; lemme show you how beeg my brain is,370,30-November-2022,https://www.youtube.com/watch?v=BXK-bAvKJoU,Helltaker,,Game,03:20:38,19:00,22:20,,
28,Reading YOUR Story: Me and My Livium,292,04-December-2022,https://youtu.be/-yPPkvqvyZY,,Bed Time Story,Storytelling,01:29:48,21:00,22:29,this is where viewers can submit their stories,
29,Pengen coba tes personality online ga si,576,07-December-2022,https://www.youtube.com/watch?v=78MTTNzdnCk,,,Free Talk,03:35:20,19:30,23:05,,
30,Part 2!! Sudah saatnya kita tamatkan game ini dengan serius,248,08-December-2022,https://www.youtube.com/watch?v=K1s2xee0d8k,Helltaker,,Game,01:42:58,19:30,21:12,,
31,Guerilla Stream: Gaming Corner. Daru dulu pengen banget main game ini,404,10-December-2022,https://www.youtube.com/watch?v=9e6S7WOcips,Ann,,Game,04:38:03,19:30,00:08,,
32,Welcome to YOZAKURA CASINO!!,625,11-December-2022,https://www.youtube.com/watch?v=HPMgfADx7_M,,Yozakura Casino,Karaoke,03:31:46,13:30,17:01,,
33,Reading YOUR Story: Choosen Title on Description!,284,11-December-2022,https://youtu.be/WCEfsylzxhE,,Bed Time Story,Storytelling,01:02:06,21:00,22:02,,
34,Temenin aku jaga lilin sepulang sekolah,437,15-December-2022,https://www.youtube.com/watch?v=iuAso-eMmTg,Detention,,Game,03:19:08,19:30,22:49,,
35,KARAOKE Special 2k!! Arigato!!!,666,18-December-2022,https://www.youtube.com/watch?v=oFwlmxWElsY,,,Karaoke,02:23:07,13:30,15:53,,
36,lets talk about childhood?,609,21-December-2022,https://www.youtube.com/watch?v=KFlCF2EuHpU,,,Free Talk,03:16:40,19:30,22:46,,
37,lu tu ada masalah apa sih Ray,431,22-December-2022,https://www.youtube.com/watch?v=2a7Dxi1hf5w,Detention,,Game,03:35:23,19:30,23:05,,
38,Lanjut Dimas Ukin,381,23-December-2022,https://www.youtube.com/watch?v=bAtLNkWhqU8,,,Game Dev,01:43:06,16:00,17:43,,
39,Reading YOUR Story: Choosen Title on Description!,555,25-December-2022,https://www.youtube.com/watch?v=OhhvLMM6M4I,,Bed Time Story,Storytelling,03:01:04,21:00,00:01,,
40,Ga jadi peprwork pen main proseka,508,26-December-2022,https://www.youtube.com/watch?v=hrIoaiHk5eU,,,Game,02:34:18,16:00,18:34,"proseka, getting over it, parampaa",
41,Speedrun ga siii,411,27-December-2022,https://www.youtube.com/watch?v=SuTE-wq0aDc,Parampaa Quiz,,Game,02:36:58,19:30,22:06,,
42,Ga usah nonton ini,906,29-December-2022,https://youtu.be/Cx_woUGbx9M,,Media Share,Free Talk,03:12:22,19:30,22:42,,
